Movie title,Director,Distributor,Running time,Language,Cast,Budget,Release date,Country,Box office,Plot
12 Strong,Nicolai Fuglsig,"Warner Bros. Pictures (North America), Lionsgate Films|Lionsgate (International)",129.0,English,"<!-- 4 actors named on poster http://www.impawards.com/2018/posters/twelve_strong_ver2_xxlg.jpg -->|, Chris Hemsworth, Michael Shannon, Michael Peña, Navid Negahban, Trevante Rhodes, Geoff Stults, Thad Luckinbill",$35 million,2018-01-16,United States,$71.1 million,"Mitch Nelson, a U.S. Army captain with Green Berets Operational Detachment Alpha (ODA) 595, is moving into a new home with his wife and daughter on September 11, 2001, after receiving an assignment to staff duty under Lieutenant Colonel Bowers. As news of the devastating terrorist attacks that day break, Nelson volunteers to lead 595 into Afghanistan. Bowers initially refuses, but veteran soldier CW5 Hal Spencer, previously scheduled to retire, persuades Bowers to give Nelson command of 595 again, as well as volunteering himself for the deployment. After leaving their families, 595 travels to Uzbekistan on October 7, 2001. After being briefed and evaluated by COL Mulholland, Commander of 5th Special Forces Group, Nelson and 595 are picked to fight alongside Northern Alliance leader Abdul Rashid Dostum.
ODA 595 is inserted covertly in Afghanistan aboard Boeing CH-47 Chinook flown by 160th SOAR on October 19, 2001. They land 40 miles south of Mazar-i-Sharif, the country's fourth-largest city and a longtime stronghold of the Taliban, where they meet Dostum. Six of the 12 members, led by Nelson, leave with Dostum to the mountains, while the other six remain in a fortified camp nicknamed ""the Alamo"" under Spencer's command. Dostum is attempting to capture the northern Afghanistan city, while battling Taliban leader Mullah Razzan, who rules local communities brutally under strict law of Sharia, and has murdered several people, including Dostum's family. Although the warlord is initially skeptical of Nelson's abilities, Nelson gradually earns Dostum's respect. In one battle, however, Dostum makes a tactical error, costing several casualties. Nelson accuses Dostum of acting carelessly with the lives of his men and of withholding valuable information, while Dostum retorts that he still feels that Nelson, and the U.S. are not willing to pay the potential price of the conflict, and tells Nelson that he needs to use his heart and mind to ""be a warrior"" instead of a soldier. The two eventually reconcile and after splitting off a three-man element under SFC Sam Diller to strike a Taliban supply route and being joined by Spencer's half of ODA 595, continue to work together. They win several victories with Dostum's leadership and manpower and American airpower, making significant progress towards Mazar-i Sharif. When Nelson informs Dostum that another ODA, 555, has been dispatched to support Atta Muhammad, another Northern Alliance leader, who is Dostum's political rival, Dostum is furious, and his men promptly abandon 595.
Following Dostum's departure, Nelson plans to continue operating against the Taliban with his Americans and the few Afghan fighters remaining with them. Encountering a large force of Al-Qaeda and Taliban fighters and armored vehicles, ODA 595, rejoined by Diller and his element, uses air support to eliminate many of the fighters and most of the armor, but are discovered and attacked. Spencer is critically injured by a suicide bomber, and the team is about to be overrun under heavy Taliban and Al-Qaeda pressure when Dostum returns with his forces. Carrying out the U.S. Army's first cavalry charge of the 21st century, the American and Northern Alliance forces disperse the Taliban and al-Qaeda, and Dostum tracks down and kills Razzan. After Spencer is medevaced, Nelson and Dostum continue to Mazar-i-Sharif but find Atta Muhammad has beaten them there. Against expectations, Dostum leaves any differences with Muhammad to be settled the next day. Impressed by Nelson and the Americans' efforts, Dostum gives Nelson his prized riding crop and tells him that he will always consider Nelson a brother and fellow fighter, at the same time bidding him remember that Afghanistan is the graveyard of empires. Spencer ultimately survives, and all 12 soldiers of ODA 595 return home after 23 days of almost continuous fighting in Afghanistan.
The film's penultimate moment shows a photo of the Horse Soldier Statue at the World Trade Center in New York City, based on the soldiers of ODA 595 and their victory in the early stages of the response to the September 11 attacks, dedicated to all United States Special Forces. The film then ends with a photo of the actual members of ODA 595, in combat fatigues, upon whom 12 Strong was based."
The 15:17 to Paris,Clint Eastwood,Warner Bros.,94.0,English,"Anthony Sadler, Alek Skarlatos, Spencer Stone|<!--ALREADY LINKED ABOVE-->|",$30 million,2018-02-09,United States,$57.1 million,"Spencer Stone and Alek Skarlatos are attending a suburban Christian middle school. They bond over their interest in guns, and are often sent to the principal's office for disciplinary action. Once, while sent to the principal's office, they meet another student, who often misbehaves in school, Anthony Sadler, and the three become friends. Spencer and Alek are from single-mother homes, and their mothers often stick up for them when called to the principal's office regarding their misconduct.
While working part time at a smoothie shop, Spencer waits on a recruiter for the United States Marine Corps. He asks the recruiter what military branch he would select if he could go back. The recruiter replies that the Air Force pararescue save lives and ""seem to being doing fine work in the field."" Spencer is intrigued and decides that he wants to join up, so he begins working out to lose weight. After several months of rigorous training and exercise, he gets into better shape and enlists in the Air Force in hopes of becoming a Pararescueman.
Upon completing basic training, Spencer takes his exams to qualify for pararescue school but is turned down due to having poor depth perception. Upset, he chooses from the other Air Force options left to him, and is soon stationed abroad. Alek enlisted in the National Guard, and has been deployed to Afghanistan. On Skype, Alek tells him that he is planning to visit his girlfriend in Germany, and the two decide to rendezvous there for their next leave. Spencer skypes Anthony, now a college student, and talks him into coming to Europe for a vacation, starting in Italy. Next, the three meet in Germany and decide to go to Amsterdam. After a few days there, they finally decide to visit France. They depart from Amsterdam Centraal station on the 15:17 train to Paris.
On the train, all seems well, until American-born Frenchman Mark Moogalian notices that one of the toilets has been occupied for an unusually long time. When he goes to investigate, a terrorist bursts out with an assault rifle. Another passenger, Damien A., grabs the terrorist by the neck and Moogalian manages to wrest the rifle from the terrorist but is then shot in the back with a 9mm pistol. Passengers begin to flee out of their seats and rush toward the forward cabins of the train, trying to escape. Eventually, the terrorist approaches the next car, where Spencer and his friends are sitting. The moment Spencer sees him, he springs into action. He decides that his only hope, and the only hope of the remaining passengers, is for him to try to defeat the terrorist. Spencer makes a desperate all-out sprint toward the terrorist in the hope of subduing him before being shot. By remarkable luck, the terrorist's weapon jams just as he is about to fire, and Spencer tackles and disarms him. Seeing Spencer's progress in subduing the terrorist, Alek, Anthony, and other passengers join the effort to try to overwhelm the terrorist. Spencer finally knocks him out by putting him in a choke hold. Spencer then stanches the bleeding by plugging the exit wound in Moogalian's neck with his fingers. The police at the next station enter the train fully armed, discovering that Spencer has subdued the terrorist, and the paramedics begin to treat his wounds and the more serious ones of the shot passenger. Paramedics take Moogalian to the emergency room at a local hospital and he survives.
In a formal ceremony, Spencer, Alek and Anthony are recognized as heroes of France for their gallantry and bravery by the President François Hollande, who tells the public that the terrorist was armed with over 300 rounds of ammunition with the apparent aim of using all of it to wreak havoc on all those who boarded the train. The odds of the particular misfire and jam of the cartridge in the terrorist's weapon was estimated on the scene as being less than one out of a thousand, and highly unlikely to have been in Spencer's favor. French officials at the ceremony acknowledge their bravery and award them the French Legion of Honour in recognition of their act of courage. The film ends with a parade in honour of the three friends in the town they grew up in, Sacramento."
22 July (film),Paul Greengrass,Netflix,143.0,English,"Anders Danielsen Lie, Jon Øigarden",$20 million,2018-09-05,United States,$3.7 million,"On July 22, 2011, Anders Behring Breivik dresses in a police uniform, loads a van with home-made explosives, and drives to Regjeringskvartalet, the executive government quarter in Oslo, Norway. He leaves the van outside the office of Prime Minister Jens Stoltenberg. Moments later, it explodes, causing several casualties.
On the island of Utøya in Tyrifjorden, Buskerud, teenagers have arrived for Workers' Youth League (AUF) summer camp, organised by the ruling Labour Party. When they learn of the bombing, one student, Viljar Hanssen, calls his parents to make sure they are unhurt.
Breivik arrives at the ferry landing and informs staff that he is a police officer, sent to secure the island following the attack in Oslo. The camp director transports him to the island by boat. Breivik instructs the staff to gather the children in one location. When the head of security asks for ID, Breivik shoots him and the director dead. The children flee as Breivik opens fire, murdering dozens.
Viljar and his brother Torje hide on a rocky embankment on the beach. Viljar calls his mother to tell her a shooting is in progress. Breivik finds the group and starts shooting. Viljar is shot multiple times, but Torje escapes unharmed. Breivik surrenders to a tactical team, and is brought inland for interrogation.
Breivik claims he is the leader of a white nationalist group called the Knights Templar and that more attacks will happen on his signal. He requests the aid of lawyer Geir Lippestad, who defended a Neo-Nazi. Lippestad is morally conscientious of his client and professionally bonded by his ethics as a lawyer. Lippestad tries to argue an insanity defense for Breivik, which draws criticism as it means he will be institutionalized instead of imprisoned. With the help of various psychiatrists and psychologists, Breivik is initially diagnosed with paranoid schizophrenia. Breivik tells Lippestad he wants to be declared competent to legitimize his attacks.
Viljar wakes from a coma with life-changing injuries and returns home with his family. He learns to walk again, but is haunted by memories of the attack. With the support of his mother, and another survivor of the attack on Utøya, he appears in court as a witness and delivers an account of the massacre. Breivik is sentenced to 21 years, that can be extended by a court if it is deemed he is still a danger to society."
A.X.L.,Oliver Daly,Global Road Entertainment,98.0,English,"Alex Neustaedter, Becky G, Alex MacNicoll, Dominic Rains, Thomas Jane",$10 million,2018-08-24,United States,$8.5 million,"A-X-L is a top-secret, robotic dog created by Andric, a Craine Systems scientist, to assist and protect soldiers. The project is funded by the military. Code-named A-X-L (""Attack, exploration, Logistics"") by the scientists who created it, the robot embodies advanced next-generation artificial intelligence. After a trial goes wrong, A-X-L is discovered hiding alone and damaged in the desert by outsider and motorbike racer Miles Hill, himself alone and abandoned by Sam Fontaine after falling from his motorbike during a stunt. Miles and A-X-L connect after the robot's owner-pairing technology is activated. A-X-L goes to great lengths to help and protect his new companion. Becoming himself bonded with A-X-L, Miles teams up with the smart, resourceful Sara Reyes to protect his new best friend.
They go to a remote hideout that Sara uses as an art studio. A-X-L presents Miles with a device which takes a blood sample and completes the pairing process. Sam arrives and confronts Sara, jealous of her relationship with Miles. A-X-L attacks Sam and Miles uses the situation to threaten him, telling him to leave Sara alone. Sara is angry that Miles has inflamed an already bad situation, but says she will not leave Miles. Leaving A-X-L, they go back to Miles' home and tell his father, Chuck, about the robot. Chuck advises them to return it to its owners. Meanwhile, Sam returns with his crew and burns A-X-L with a flamethrower. Sara sees the live recording on her phone and she and Miles take off to save him. They are too late, but A-X-L gives them a location to get him repaired. Meanwhile, a man sent by Andric shows up at Chuck's house and demands to know the location of the device that controls A-X-L. Chuck grows suspicious and outmaneuvers the man, demanding answers to his own questions. The man reveals he is looking for A-X-L.
Miles and Sara take A-X-L to a garage, where the robot begins repairing itself. Andric sees a log of its location and sends a team to retrieve it. The agents arrive and try to retrieve the robot while it is still repairing. The repairs finish just in time, and A-X-L subdues the operatives. As A-X-L reboots, he recalls being burned with a flamethrower, and races off to kill Sam. Miles and Sara rush to stop him. Sam and his friends are partying when A-X-L arrives. Sam tries again to burn him with the flamethrower, but the fuel runs out. Miles and Sara arrive and convince A-X-L not to kill Sam. A swarm of drones arrives and disables A-X-L; Miles and Sara are captured and delivered to Craine Systems. Andric tries to override Miles' control of A-X-L, but fails.
When Miles refuses to reveal where the remote is, Andric programs A-X-L to attack Sara. Sara manages to convince A-X-L not to attack her, by reminding him of how she drew a feather at the hideout. Captain Webber, Andric's military superior, shows up. Andric tries to escape, but is arrested. Knowing they are surrounded, Sara allows herself to be captured. Miles and A-X-L escape, but are pursued by helicopter. They race though hilly terrain until Miles falls from his motorbike. Miles orders A-X-L to run. A-X-L obeys and tries to get as far away as possible before self-destructing, whilst uploading to the Internet all the memories he, Miles and Sara had together. Having finished, A-X-L looks at Miles' image for the last time, and says ""Yo! Send it,"" before finishing the self-destruct sequence. Miles then allows himself to be captured by the military.
Six weeks later, Andric has been imprisoned for violating national security and endangering the lives of civilians. He is visited by Webber, who informs him that A-X-L's code has resurfaced and wants to know what it is doing. Sara and Miles have gone to college with scholarships provided by the military – to buy their silence and to keep an eye on them. Sara and Miles are spending a day hanging out at the beach, studying and playing with their new puppy, when Sara hands him an envelope. Miles opens it and pulls out a note from his dad saying ""This yours?"". He flips the envelope upside-down and A-X-L's remote falls out into his hand. He asks Sara if he should press it. The device uploads an A-X-L app onto their phones. They realize that A-X-L has somehow survived and is trying to return to them."
Acrimony (film),Tyler Perry,Lionsgate Films|Lionsgate,120.0,English,"Taraji P. Henson, Lyriq Bent, Crystle Stewart, Ptosha Storey, Jazmyn Simon, Ajiona Alexus, Antonio Madison, Bresha Webb, Danielle Nicolet, Nelson Estevez, Kendrick Cross |<!-- per opening credits-->|",$20 million,2018-03-30,United States,$46.4 million,"Melinda Moore is a wife who supports her husband, Robert Gayle, an engineer trying to sell an innovative battery design. A running total/dwindling balance of the proceeds Melinda receives after her mother's death is portrayed as the couple gets in over their heads in debt, along with the interference of her sisters fractures their marriage over time. The film is divided into categories based in the emotional spectrum that Melinda experiences, as follows:

Acrimony
Melinda  bumps into engineering student Robert during college, goes into a rage and assaults him physically and verbally, revealing her abnormal tendencies. Later that day he appears at her dorm room to return some papers that got mixed up when they bumped into each other, and they gradually become close. On the day of her mother's funeral, Melinda and Robert go to his RV leading to them having sex, and the pair start dating. Melinda frequently listens to Robert speak about his life and she decides to buy him a new car. Although he did not ask her to buy the car, he accepts it. Melinda believes he is aware of his own influence on her but she strives to please him anyway. Melinda later  then decides to wait for Robert to call her. One day passes, then two until one day she decides to call him one night. Melinda is very confused when Robert starts talking and acting in a very strange way so she decides to go visit him at his RV and discovers him cheating on her with a woman named Diana Wells. She goes into a murderous rage and rams the RV with her car with both the two lovers inside, seriously injuring herself in the process. Melinda destroys Robert's car before passing out from injury and is rushed to the hospital for an emergency full hysterectomy, rendering her unable to bear children. Melinda and Robert reconcile and marry, despite the objections of her sisters, June and Brenda. Brenda warns Melinda not to tell Robert about the amount of money their mother left her.
For the next eighteen years, Melinda supports them both, as Robert is unable to find work because he is focused on developing his invention.  June and Brenda are leery of Robert's intentions with Melinda's inheritance. Robert talks Melinda into mortgaging their house so he can build a prototype of a revolutionary self-charging battery he has been designing, which he hopes to sell to Prescott, a venture capitalist.  Diana, now working as an assistant to Prescott, arranges for Robert to have a meeting with him. After finding Diana's wallet in Robert's truck, June and Brenda tell Melinda that Robert is cheating on her despite it being an innocent meeting. Melinda's family runs a catering business and they offer Robert a job, warning him that if they miss out on delivering to a client they will lose their truck contract. As Robert is in route to his delivery, he gets a call from Diana saying Prescott wants to reconsider his deal. This causes Robert to abandon his delivery job during mid-route. Prescott offers Robert $800,000 for the design, but Robert wants to license the technology to them instead and declines the offer. Melinda, furious at both Robert's declining of Prescott's offer and his interaction with Diana, files for divorce and moves in with Brenda. Robert moves into a homeless shelter, but Diana finds out and insists that he live with her. 
Ultimately Robert is offered a 75 million dollar licensing agreement with Prescott while still retaining ownership of his intellectual property(IP)for this battery, which later in the film was said to be worth an additional 300,000,000 million dollars. Of which Melinda feels entitled to 150 million dollars of it which she attempts to sue Robert for. The Judge dismissed her claim , stating the 10,000,000 million dollars Robert voluntarily gave Melinda after their divorce in addition to buying back her mother's family home that was lost due to foreclosure was more than generous seeing how Robert legally owed her nothing.

Sunder
Prescott reconsiders and offers Robert a multimillion-dollar deal while allowing him to keep the intellectual property of the battery technology proprietary, which he accepts. Robert visits Melinda at work, although she refuses to reconcile. Robert accepts her decision but, as an apology to her and much to Melinda's surprise, gives her $10 million and buys back her home.

Bewail
After showing her sisters the money Robert has given her and berating them for their influence, Melinda visits Robert in his new penthouse apartment and attempts to seduce him and rekindle their relationship, but Diana comes in and introduces herself as Robert's fiancée.

Deranged
Angry and hurt for not being able to live the life Robert has promised her prior to the divorce, Melinda becomes obsessed with the couple and swears to destroy them. Melinda sues Robert and Diana, claiming that the deal with Prescott happened before their divorce, but the case is dismissed. Robert and Diana file a countersuit against Melinda and obtain restraining orders. As Melinda's behavior is getting worse, even her own family turns on her as they give advice to Robert and Diana to hire bodyguards and install security measures in their house. Enraged that her own family now sides with Robert, Melinda angrily chases the couple away. Eventually, Melinda retaliates by visiting the bridal shop and destroying Diana's wedding gown with hydrochloric acid, although she is caught and sentenced to court-mandated counseling, where she tells her therapist that Robert took advantage of her. Her therapist suggests that she may have borderline personality disorder. Melinda's mental state further deteriorates after learning Diana is pregnant. On Robert's wedding day, Melinda's family and friends are forced to prevent her from leaving her house and ruining the wedding.

Inexorable
Robert and Diana leave on their honeymoon cruise. Melinda sneaks onto the boat, shoots Robert, and makes the crew of the boat jump overboard. Melinda attempts to shoot Diana but Robert tells Diana to take the dinghy and rescue the crew before overpowering Melinda and throwing her in the water. Melinda returns and attempts to kill Robert with an axe but is trapped by the anchor that pulls her off and into the ocean, thus she drowns. Diana returns with the crew and comforts a bleeding Robert."
Action Point,Tim Kirkby,Paramount Pictures,85.0,English,{{ubl|Johnny Knoxville|Chris Pontius}},$19 million,2018-06-01,United States,$5.1 million,"In the early 1980s, D.C. Carver is the owner of Action Point, a low-rent amusement park with numerous safety hazards; regardless, the park is popular with the youth due to it being the only amusement park in the area. However, a new amusement park named 7 Parks opens up one day and begins to draw customers away from Action Point. D.C. is also pressured by his loan officer Knoblach into selling his land due to his failure to pay off a $100,000 loan. Meanwhile, his estranged teenage daughter Boogie comes to visit and begins to help around the park as a summer job.
One night, D.C. and his staff break into 7 Parks to observe and sabotage the park, but are nearly caught. D.C. realizes that he needs to come up with something big to compete, eventually deciding that they need to start promoting Action Point as a park about what patrons can do, whereas 7 Parks is about what they can't do. He then decides to remove all the safety measures from the rides in an attempt to make the park stand out, causing several people - including himself - to be seriously injured. Boogie also confesses to park lifeguard Benny that the true purpose of her visit is to get D.C. to sign papers that would allow her mother's boyfriend to become her legal guardian.
As a publicity stunt, D.C. and the staff interrupt a local TV broadcast promoting the park which draws in customers, but sends the park into chaos due to the lack of proper rules and regulations. At Boogie's advice, D.C opens up a section for kids, but it is poorly designed causing her to inform legal authorities who then shut the park down.
D.C. and the staff repair the park and reopen it, but are told that the bank has foreclosed on the park. Furthermore, Boogie becomes upset after D.C. breaks his promise to take her to a concert, and gets drunk with the staff before they are all arrested. After D.C. bails her out, she snaps at him and reveals her intention for him to sign the papers. The next day, he finds her gone and learns that she may have left for Las Vegas on a bus. Desperate, he and Benny chase down the bus with their car but lose it after it collides with them.
D.C. then realizes that she was not on the bus and tracks her to a restaurant where he explains that the park has become his new family after losing his first one, and the reason he obsesses over it was because he did not want to lose it as well. Unable to pay off his loan, D.C. decides to blow up the park and sell off the land to Knoblach. To get back at him however, D.C. opens the park gates one last time and gives away free beer as he is no longer liable for any damages that will occur, and the drunk patrons go wild and cause massive damage to the park. Later that night, the staff gather one last time and shoot fireworks to commemorate their time in the park.
The next day, as Boogie prepares to leave, D.C. proposes that the two of them instead take a road trip and make a stop in Austin to attend the concert. Boogie is overjoyed and the former park staff offer to come along.
In the present day in the late 2010s, a much older D.C. finishes his story to his granddaughter as Boogie arrives home and before he leaves, he pretends to have a heart attack in the yard, which Boogie calls out as the two of them share a laugh."
Alpha (2018 film),Hughes brothers|Albert Hughes,Sony Pictures Releasing,96.0,Fictional language,"Kodi Smit-McPhee, Jóhannes Haukur Jóhannesson",$51 {{nbsp}} million,2018-08-17,United States,$99.6 {{nbsp}} million,"In Upper Paleolithic Europe 20,000 years ago, a small tribe of hunter-gatherers prepare for a hunting expedition to hunt for the coming winter's food. Tau, its chief, trains his teenage son Keda, accepting him and Keda's friend Kappa to join the hunting party. His wife Rho worries that Keda is not ready, but Tau believes he is and the hunters set out.
Tau tests Keda by having him kill a wild boar they've caught, but Keda hesitates. One night, the party's fire draws the attention of a large cave lion, which lunges through their circle, snatching Kappa before anyone can do anything. Hearing the fatal struggle in the darkness, the tribe gives him up for dead. Kappa is given a memorial service in the form of a cairn to symbolize the passing of one's spirit to the afterlife.
The hunters eventually reach a herd of steppe bison, which they attempt to stampede off a cliff with relative success. Amidst the chaos, the bull rushes towards Keda and tosses him over the edge, leaving him gripping the rough cliff edge with his hand. Keda’s grip breaks and plummets to a further ledge where he appears to break his leg and is knocked unconscious. Tau attempts to climb down to him, but he is stopped by fellow hunter Sigma who assures him in good faith that Keda is dead and there would be no way to reach him anyway. The tribe leaves and Tau performs another funeral ritual, stricken with grief.
Keda is awoken by a vulture who mistakes him for dead. He kills the bird and tries to climb the rest of the way down the cliff. A sudden heavy rainfall causes the ravine below to flood. Keda sees this and jumps towards the flood to break his fall. He survives and splints his injured foot before returning to the top of the cliff. Seeing the memorial cairn left by his tribe, he realizes he must travel back to the village by himself.
Keda is later attacked and chased by a pack of ferocious wolves, but escapes up a tree and wounds one of the pack members which the others leave behind. Keda takes pity on it and cares for its injury. Gradually gaining the wolf's trust, he gives it food and water, establishing himself as dominant by feeding himself first. He sets out for the village without the wolf, but it follows him. Their relationship grows, and they learn to hunt animals together. Along the way, Keda names the wolf Alpha.
One night, they are approached menacingly by a pack of wolves. Upon seeing Alpha, who steps forward to greet them, they recognize Keda's companion. The pack runs off and with Keda's blessing, Alpha joins them. Keda continues his journey alone as the season changes into winter. On a frozen lake, he encounters a pack of wolves feeding on a carcass. Recognizing Alpha, he runs to them, but the ice breaks and he falls through. Alpha helps rescue him and they are reunited.
Continuing the journey together, they find a man who has frozen to death outside his tent and scavenge a bow and a single arrow from his body. Later, in the midst of a blizzard they take refuge from a pack of cave hyenas inside a cave. However, inside they are confronted and attacked by another cave lion, causing Alpha to violently fight the animal. Keda saves Alpha by using the bow to kill the lion with an arrow, although Alpha is badly wounded because of the fight and now travels with difficulty. Meanwhile, an equally injured Keda begins to cough up blood. When Alpha finally cannot walk, Keda carries the wolf.
Keda eventually finds his village although nearly passing out from exhaustion, and he reunites with his shocked but relieved parents who are amazed and proud of him. As the village healer tends to both Keda and Alpha's wounds, Alpha delivers a litter of puppies much to Keda's surprise, as Alpha is revealed to be female. Alpha and her pups are formally welcomed into the tribe and grow up in the care of Alpha and Keda. The final image of the film shows the tribe and their domesticated wolves, hunting together."
Ant-Man and the Wasp,Peyton Reed,Walt Disney Studios Motion Pictures|Walt Disney Studios<br />Motion Pictures,118.0,English,"|<!-- Order per main titles, see WP:MCUFILMCAST -->|, Paul Rudd|<!--Please do not add a link here. It is a DUPLINK as Rudd is credited as a writer and linked above. Thank you!-->|, Evangeline Lilly, Michael Peña, Walton Goggins, Hannah John-Kamen, David Dastmalchian, Tip ""T.I."" Harris, Judy Greer, Bobby Cannavale, Randall Park, Abby Ryder Fortson, Michelle Pfeiffer, Laurence Fishburne, Michael Douglas|<!-- Order per main titles, see WP:MCUFILMCAST -->",$130–195 million,2018-06-25,United States,$622.7&nbsp;million,"Two years after Scott Lang was placed under house arrest due to his involvement with the Avengers, in violation of the Sokovia Accords, Hank Pym and his daughter Hope van Dyne briefly manage to open a tunnel to the Quantum Realm. They believe Pym's wife Janet van Dyne might be trapped there after shrinking to sub-atomic levels in 1987. When he had previously visited the Quantum Realm, Lang had unknowingly become quantumly entangled with Janet, and now he receives an apparent message from her.
With only days left of house arrest, Lang contacts Pym about Janet, despite the strained relationship they have because of Lang's actions with the Avengers. Hope and Pym kidnap Lang, leaving a large ant with Lang's ankle-monitor on as a decoy so as not to arouse the suspicions of FBI agent Jimmy Woo. Believing the message from Janet is confirmation that she is alive, the trio work to build a stable quantum tunnel so they can take a vehicle to the Quantum Realm and retrieve her. They arrange to buy a part needed for the tunnel from black-market dealer Sonny Burch, but Burch realizes the potential profit to be made from Pym's research and double-crosses them. Donning the Wasp outfit, Hope fights off Burch and his men until she is attacked by a quantumly unstable masked woman. Lang tries to help fight off this ""ghost"", but the woman escapes with Pym's lab, which has been shrunk down to the size of a suitcase.
Pym reluctantly takes Hope and Lang to visit his estranged former partner Bill Foster, who gives them a way to locate the lab. After they find it, the ghost captures the trio and reveals herself to be Ava Starr. Her father, Elihas, was another of Pym's former partners who died along with his wife during an experiment that caused her unstable state. Foster enters and reveals that Ava is dying and in constant pain as a result of her condition. They plan to cure her using Janet's quantum energy. Believing that this will kill Janet, Pym refuses to help them and escapes with Hope, Lang, and the lab.
Opening a stable version of the tunnel, Pym, Hope, and Lang are able to contact Janet, who gives them a precise location to find her but warns that they only have two hours before the unstable nature of the Quantum Realm separates them for a century. Using a truth serum, Burch learns the trio's location from Lang's business partners Luis, Dave, and Kurt, and informs a contact at the FBI. Luis warns Lang, who rushes home before Woo can see that he is violating his house arrest. Pym and Hope are arrested by the FBI, allowing Ava to take the lab.
Lang is soon able to help Pym and Hope escape custody, and they find the lab. Lang and Hope distract Ava while Pym enters the Quantum Realm to retrieve Janet, whom he finds alive. Meanwhile, Lang and Hope are confronted by Burch and his men, and following a lengthy chase across San Francisco, Ava regains control of the lab, allowing her to begin taking Janet's energy by force. Luis, Dave, and Kurt incapacitate Burch and his men so that Lang and Hope can stop Ava. Pym and Janet return safely from the Quantum Realm, and Janet voluntarily gives some of her energy to Ava to temporarily stabilize her. Lang returns home once again, in time for a now-suspicious Woo to release him at the end of his house arrest. Ava and Foster go into hiding while Burch and his men are arrested and confess thanks to being injected with Burch's truth serum.
In a mid-credits scene, Pym, Hope, and Janet send Lang into the Quantum Realm to harvest quantum energy in a plan to help Ava remain stable. Before they can retrieve Lang, the other three turn to dust."
Aquaman (film),James Wan,Warner Bros. Pictures,143.0,English,"<!-- Cast arranged according to the poster billing block -->|, Jason Momoa, Amber Heard, Willem Dafoe, Patrick Wilson, Dolph Lundgren, Yahya Abdul-Mateen II, Nicole Kidman",$160–200&nbsp;million,2018-11-26,United States,$1.152&nbsp;billion,"In 1985 Maine, lighthouse keeper Thomas Curry rescues Atlanna, queen of the underwater kingdom of Atlantis, during a storm. They fall in love and have a son named Arthur, who has the power to communicate with sea creatures. When Atlantean soldiers sent by King Orvax (the ruler of Atlantis) arrive for Atlanna, who fled her arranged marriage, she is forced to leave her family to protect them from her people. She promises to return when it's safe and goes back to Atlantis, entrusting her advisor, Nuidis Vulko, to train Arthur. Becoming a skilled warrior, Arthur rejects Atlantis upon learning that Atlanna was executed by Orvax for loving a human and for Arthur's illegitimate birth.
In the present, Arthur has become known as the metahuman dubbed as the ""Aquaman"" by the public. One year after Steppenwolf's defeat, Arthur confronts pirates hijacking a Russian Akula-class submarine. Their leader, Jesse Kane, is killed, leading his son David to vow revenge against Arthur, after he refused to help save Jesse in retaliation for murdering innocent people. King Orm Marius, Orvax's son and Arthur's younger half-brother as well as Atlantis's new ruler, convinces King Nereus of Xebel to help unite Atlantis and destroy the surface world for polluting the oceans. If Orm unites all four kingdoms, he will receive the title of Ocean Master, commander of the most powerful force on Earth. They are ambushed by a submarine, causing Orm to feel obligated to send a tsunami.
Nereus' daughter Mera, betrothed to Orm, refuses to aid them and requests Arthur's help, and Arthur accompanies her to Atlantis after Orm's tsunami nearly kills his father. Vulko urges him to find the Trident of Atlan, a powerful artifact of Atlantis' first ruler, to reclaim his rightful place as king. They are ambushed by Orm's men, and Arthur is captured. Orm blames him for Atlanna's death and nearly kills him in a duel before Mera rescues him. Arthur and Mera journey to the fallen Kingdom of the Deserters hidden under the Sahara, where the trident was forged, and unlock a holographic message that leads them to Sicily, where they retrieve the trident's coordinates.
Orm gives David an Atlantean battle suit to kill Arthur, imprisons Vulko, and coerces the Kingdom of the Fishermen to pledge their allegiance to him by killing their king. It is revealed that Orm hired David and Jesse to hijack the Russian submarine to win Nereus's support. Rechristening himself as ""Black Manta"", David battles Arthur, but Arthur defeats him. Arthur and Mera fend off amphibious monsters of the Trench, and a wormhole transports them to an uncharted sea at the center of the Earth. They are reunited with Atlanna, who managed to survive and escape into the uncharted sea, but was unable to find her way back.
Arthur faces the Karathen, a mythical sea monster and guardian of the trident, and reclaims the trident, which grants him control over the seven seas. Orm leads his army against the Kingdom of the Brine to declare himself Ocean Master, while in turn Arthur leads an army of marine creatures against him. Orm's followers embrace Arthur as the true king upon learning that he wields Atlan's trident. Arthur spares Orm's life after beating him in a duel, and Orm accepts his imprisonment after discovering that Arthur rescued their mother. Atlanna reunites with Thomas, while Arthur ascends to the throne. In a mid-credits scene, Manta is rescued by Dr. Stephen Shin, a marine scientist and conspiracy theorist obsessed with Atlantis, and agrees to lead Shin there in exchange for help in his revenge on Arthur."
